ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
28128	KEEBLER, SANDIES, Pecan Shortbread Cookies, bite size	547	5	58.7	32.6	1.6	22.5	333	9.5	5 cookies,  28 g package	28	1 package,  (34 g)	34
28129	KEEBLER, SANDIES, Pecan Shortbread Cookies, Reduced Fat	488	6.7	67.1	21.8	2.1	23.9	401	6.6	2 cookies	31		
28130	KEEBLER, SOFT BATCH, Chocolate Chip Cookies	477	3.6	66.2	22.1	1.7	36.9	350	9	2 cookies	32		
28131	KEEBLER, Sweet Cremes Cookies	469	4.5	71	19.3	1.3	32	267	6.5	2 cookies	38		
28132	KEEBLER, Toasted Coconut Cookies	475	3.8	69.9	20.2	2.3	41.2	324	10.3	2 cookies	38		
28133	KEEBLER, TOASTEDS, Buttercrisps Crackers	495	5.5	65	23.7	1.8	8.4	930	4	5 crackers	16		
28134	KEEBLER, TOASTEDS, Party Pack Cracker Assortment	483	6.5	64.4	23	2.9	7.2	904	3.8	5 crackers	16		
28135	KEEBLER, TOASTEDS, Onion Crackers	479	5.7	67.7	20.6	2.2	9.7	1006	3.4	5 crackers	16		
28136	KEEBLER, TOASTEDS, Sesame Crackers	496	6.6	62.6	24.3	2.8	4.1	887	3.5	5 crackers	16		
28137	KEEBLER, TOASTEDS, Wheat Crackers	466	8.3	66.1	20	4	9	875	3.2	5 crackers	16		
28138	KEEBLER, TOWN HOUSE, Bistro Multigrain Crackers	460	7.3	67	19.5	3.4	8.6	797	4.3	2 crackers	16		
28139	KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Crackers, Cheese	476	8	61.3	22.5	2.1	5.4	1454	4	5 crackers	15		
33863	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, powder	510	10.8	57	27	0	57	138	11.161	1 scoop	8.7		
33864	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, Liquid concentrate, not reconstituted	129	2.73	14.42	6.83	0	14.42	35	2.824	1 fl oz	31.4		
33865	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, Liquid concentrate, not reconstituted	129	2.72	14.34	7.1	0	14.34	35	2.943	1 fl oz	31.4		
33866	Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, GENTLEASE, Toddler, LIPIL, powder	494	12.9	52	26	0	52	200	11.76	1 scoop	9.6		
33867	Infant formula, GERBER, GOOD START, PROTECT PLUS, powder	512	11.3	57	26.1	0	57	138	10.936	1 scoop	9.4		
33868	Infant Formula, GERBER GOOD START 2, GENTLE PLUS, powder	492	10.8	57.1	25.1	0	57.1	133	10.517	1 scoop	9.4		
33869	Infant formula, GERBER, GOOD START 2, PROTECT PLUS, powder	501	11.1	56.3	25.7	0	56.3	138	11.016	1 scoop	9.4		
33870	Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, Soy, Toddler, LIPIL, powder	470	15.7	56	21	0	56	171	6.218	1 scoop	9.4		
33871	Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, powder, with ARA and DHA	512	15.36	52.2	27.65	0	52.2	154	11.43	1 scoop	9.6		
33872	Infant formula, GERBER, GOOD START 2 SOY, with iron, powder	501	12.5	55.6	25.6	0	55.6	200	11.043	1 scoop	9.4		
33873	Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, AA LIPIL, powder, not reconstituted	500	14	51	26	0	51	230	10.813	1 scoop	9.4		
33874	Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 20 calories ready-to-feed Low iron	66	1.97	7.21	3.34	0	7.23	38	1.679	1 fl oz	30.4	5 fl oz	152
33875	Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calories ready-to-feed Low iron	67	1.97	7.19	3.34	0	7.21	38	1.339	5 fl oz	30	5 fl oz	152
33876	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed	66	1.38	7.39	3.48	0	7.39	18	1.027	1 fl oz	30.5	5 fl oz	152
33877	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, powder	510	10.8	57	27	0	57	138	11.161	1 scoop	8.7		
43146	Eggplant, pickled	49	0.9	9.77	0.7	2.5	4.8	1674	0.14	1 cup	136		
43154	Alcoholic beverage, wine, cooking	50	0.5	6.3	0	0	1.55	626	0	1 tsp	4.9	1 fl oz	29
43155	Alcoholic beverage, wine, light	49	0.07	1.17	0	0	1.15	7	0	1 fl oz	29.5	1 serving,  5 fl oz	148
43158	Sweeteners, tabletop, saccharin (sodium saccharin)	360	0.94	89.11	0	0	85.19	428	0	1 serving,  1 packet	1	1 serving,  1 packet SUGAR TWIN	0.8
43205	Beverage, instant breakfast powder, chocolate, not reconstituted	353	19.9	66.2	1.4	0.4	65.8	385	0.56	1 tbsp	7.4	1 envelope	37
43212	Bacon bits, meatless	476	32	28.6	25.9	10.2	0	1770	4.055	1 tbsp	7		
43214	Butter replacement, without fat, powder	373	2	89	1	0	5.3	1200	0.589	1 cup	80		
43215	Salad dressing, buttermilk, lite	202	1.25	21.33	12.42	1.1	3.77	1120	1.25	1 tablespoon	15	1 serving,  (2 tbsp)	30
43216	Sweeteners, tabletop, fructose, dry, powder	368	0	100	0	0	92.7	12	0	1 cup	196	1 tsp	4.2
43217	Tomato sauce, canned, no salt added	24	1.2	5.31	0.3	1.5	3.56	11	0.041	1 cup	245		
43218	Cereals ready-to-eat, ALPEN	352	11.2	75.7	3.3	9.1	20	27	0.496	.67 cup,  (1 NLEA serving)	55		
43241	Cereals ready-to-eat, FAMILIA	388	9.5	73.8	6.3	8.5	23.2	8	0.711	1 cup	122		
43245	Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits	385	7.1	76.2	5.6	9.7	23.6	245	0.8	1 cup,  (1 NLEA serving)	55		
43260	Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted	358	35.8	41	5.1	2	39	717	2.162	1 tbsp	5.6	1 envelope	20
43261	Yogurt, fruit variety, nonfat	95	4.4	19	0.2	0	19	58	0.119	1 container,  (6 oz)	170	1 container,  (4.4 oz)	125
43268	Whipped cream substitute, dietetic, made from powdered mix	100	0.9	10.6	6	0	10.6	106	3.186	1 cup	80		
43269	Frozen novelties, ice cream type, sundae, prepackaged	185	4.3	29.4	6	0.3	20.74	95	3.09				
43273	Cheese, cottage, with vegetables	95	10.9	3	4.2	0.1	0.37	403	2.646	4 oz	113	1 cup	226
43274	Cheese, cream, low fat	201	7.85	8.13	15.28	0	5.82	359	9.098	1 tbsp	15	1 cup	240
43275	Cheese, pasteurized process, American, low fat	180	24.6	3.5	7	0	0.59	1789	4.41	1 cup, diced	140	1 cup, shredded	113
43276	Cheese spread, cream cheese base	295	7.1	3.5	28.6	0	3.5	436	18.02	1 oz	28.35	1 cup	240
43278	Cheese, american cheddar, imitation	239	16.7	11.6	14	0	7.74	1345	8.79	1 slice	21	1 cubic inch	18
43282	Quail, cooked, total edible	227	25.1	0	14.1	0	0	52	3.955	1 oz	28.35	1 lb	453
43283	Pheasant, cooked, total edible	239	32.4	0	12.1	0	0	43	3.908	1 cup, chopped or diced	140		
13235	Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8" fat, choice, raw	160	22.1	0	7.27	0	0	35	2.782	3 oz	85	1 steak	461
13236	Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8" fat, choice, cooked, grilled	217	27.48	0	11.05	0	0	68	4.6	3 oz	85	1 steak	360
13284	Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0" fat, select, raw	149	21.17	0	6.57	0	0	52	2.65	3 oz	85		
13285	Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0" fat, all grades, cooked, braised	216	30.54	0	10.46	0	0	65	4.002	3 oz	85	1 roast	647
13293	Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0" fat, all grades, raw	140	21.13	0.31	6.07	0	0	81	2.58	3 oz	85	1 steak	679
